ad_id,age,gender,percentage
4004735392958144,55-64,unknown,0.001305
4004735392958144,35-44,unknown,0
4004735392958144,18-24,female,0
4004735392958144,25-34,unknown,0
4004735392958144,45-54,unknown,0
4004735392958144,65+,unknown,0
4004735392958144,18-24,unknown,0
488000739194675,35-44,unknown,0.000333
488000739194675,35-44,male,0.117921
488000739194675,18-24,unknown,0.000333
488000739194675,55-64,female,0.081279
488000739194675,35-44,female,0.037308
488000739194675,25-34,female,0.03431
488000739194675,25-34,male,0.154231
488000739194675,55-64,male,0.09527
488000739194675,45-54,male,0.125916
488000739194675,45-54,unknown,0.000333
488000739194675,18-24,male,0.067955
488000739194675,65+,male,0.089274
488000739194675,65+,female,0.107595
488000739194675,18-24,female,0.022985
488000739194675,45-54,female,0.062958
488000739194675,65+,unknown,0.000666
488000739194675,55-64,unknown,0.001332
488000739194675,25-34,unknown,0
387021415840885,35-44,unknown,0.000424
387021415840885,55-64,unknown,0.000424
387021415840885,18-24,female,0.016122
387021415840885,65+,male,0.014001
387021415840885,25-34,female,0.111158
387021415840885,45-54,unknown,0.002546
387021415840885,65+,female,0.095885
387021415840885,35-44,male,0.020365
387021415840885,45-54,female,0.244803
387021415840885,55-64,female,0.234196
387021415840885,25-34,male,0.021213
387021415840885,35-44,female,0.188799
387021415840885,18-24,male,0.00297
387021415840885,45-54,male,0.028426
387021415840885,55-64,male,0.018668
387021415840885,18-24,unknown,0
387021415840885,25-34,unknown,0
387021415840885,65+,unknown,0
182377217067327,18-24,female,0.01378
182377217067327,45-54,unknown,0.000919
182377217067327,65+,male,0.034383
182377217067327,45-54,female,0.082021
182377217067327,55-64,female,0.083858
182377217067327,25-34,male,0.196719
182377217067327,45-54,male,0.118635
182377217067327,35-44,female,0.077297
182377217067327,35-44,male,0.140945
182377217067327,25-34,female,0.107874
182377217067327,55-64,male,0.096194
182377217067327,65+,female,0.027034
182377217067327,18-24,male,0.018241
182377217067327,25-34,unknown,0.000262
182377217067327,55-64,unknown,0.000394
182377217067327,35-44,unknown,0.001444
182377217067327,18-24,unknown,0
182377217067327,65+,unknown,0
927652364755813,45-54,unknown,0.001381
927652364755813,35-44,male,0.06406
927652364755813,18-24,male,0.009561
927652364755813,55-64,unknown,0.001275
927652364755813,65+,female,0.086157
927652364755813,45-54,male,0.070859
927652364755813,25-34,male,0.062148
927652364755813,25-34,female,0.090301
927652364755813,55-64,male,0.085626
927652364755813,18-24,female,0.00903
927652364755813,65+,male,0.053968
927652364755813,45-54,female,0.156379
927652364755813,35-44,female,0.118453
927652364755813,55-64,female,0.187507
927652364755813,35-44,unknown,0.001594
927652364755813,65+,unknown,0.000956
927652364755813,25-34,unknown,0.000637
927652364755813,18-24,unknown,0.000106
1119102628501562,25-34,unknown,0.001073
1119102628501562,35-44,unknown,0.003219
1119102628501562,65+,male,0.037017
1119102628501562,18-24,male,0.001878
1119102628501562,25-34,male,0.043455
1119102628501562,55-64,female,0.153433
1119102628501562,65+,female,0.060891
1119102628501562,55-64,male,0.061964
1119102628501562,45-54,female,0.183208
1119102628501562,18-24,female,0.005901
1119102628501562,35-44,female,0.174624
1119102628501562,25-34,female,0.107833
1119102628501562,45-54,male,0.089861
1119102628501562,35-44,male,0.070815
1119102628501562,65+,unknown,0.001073
1119102628501562,45-54,unknown,0.002414
1119102628501562,55-64,unknown,0.001341
1119102628501562,18-24,unknown,0
149689736998534,55-64,unknown,1.7E-5
149689736998534,25-34,female,0.230362
